File,Article_type,Context_type,Noun_type,Left ,KWIC,Right
A0T,b_definite,a_nondetermined,d_proper,"This apparently backward causality , if true , would cause problems for identity theories of mind and has been used by dualists like John Eccles to support their position , with the backward step in time made by a non-physical mind . Libet 's second set of experiments , described in 1985 , is even more striking . About a second before a subject moves a part of his body , a slow negative shift in the electrical potential generated by the brain begins . This effect , which is strongest over the frontal lobes , was first observed in 1964 by Grey Walter , who called it ",<<< the >>>," Contingent Negative Variation . More recently , and perhaps begging the question of its mental significance , it has come to be known as the Readiness Potential ( RP ) . In Libet 's experiment , subjects were asked to move their hands at random times of their own choosing . Averaging the EEG over forty such self-initiated movements , Libet found that there was indeed a time-locked negative shift beginning about 550 msec before the movement ."
A0Y,b_definite,b_determined,b_count_pl,"Sections 1 and 2 have explained the procedure that must be followed , this section explains the additional tasks that the family may have to perform . If the person dies at home , the district nurse could be asked to complete last offices , or the family may wish to do so . This must be done fairly soon after the death . The body is laid out on the back with hands at the side , the eyes are closed ( coins or cotton wool on the eyelids will help ) the jaw supported by a pillow , and all ",<<< the >>>," natural outlets of the body plugged with cotton wool . After the doctor has certified the cause of death , the body can be washed , dressed in whatever clothes are desired and hair brushed . If the body is to remain at home it is advisable for the room to remain cool . If the person dies in hospital the family will need to collect the body from the mortuary ."
A1D,b_definite,b_determined,c_uncount,"And in each piece this is matched by a peculiarly private quality of movement and motivation . This personal stamp is partly created by the unique range of Burrows ] influences -- British folk dance from his training at the Royal Ballet School , ballet itself , and at the opposite extreme the minimal , unburnished style of Rosemary Butcher , with whom he has performed several times . But it is also that the worlds which Burrows evokes are very intimate and very enclosed . Hymns was an alternately brutal , comic and touching study of pubescent schoolboys while his new work , dull morning cloudy mild , stems from the diary of an old man whose memories are bound up with his obsessive recording of ",<<< the >>>," weather . Matteo Fargion 's specially composed music for piano , strings and brass does much to set the tone of the piece , with its clouded dissonances and flurries of bright jazzy melody . The choreography likewise evokes changes of weather and mood but without displaying any overt narrative development . The two central , baggy-suited dancers , Lynne Bristow and William Trevitt , either mirror each others ' movements ( the old man perhaps communing with his diary ) or else dance as a couple ( the man reliving past relationships ) ."
A6L,b_definite,b_determined,b_count_pl,"[ The Japanese are coming in through [ Big Bang ] ] . We 're small . If you take the largest ten banks in the world , there 's not a single British bank among them . The first bank that comes into ",<<< the >>>," ratings is NatWest or Barclays at number fifteen . ] Finniston 's thesis is that the creation of wealth should come before the creation of employment , because it is the creation of wealth that creates employment , not in the thing that is creating the wealth but in other things . You recirculate it through taxation and through individual wealth ."
A7D,b_definite,b_determined,c_uncount,"She had to scramble daily through dense thorny undergrowth , up and down ravines slippery with mud , sit for hours in pouring rain , cope with illness and poisonous insects and marauding baboons . Her capacity for solitude and disregard for physical comforts helped her to survive . Now she has swapped all that for a nonstop international round of meetings , negotiations , lectures , media appearances . In September , a month after the RSPCA conference , she was in England for ",<<< the >>>," publication of her new book . At our interview at the Royal Overseas League she was about to leave for a pit-stop author 's tour , with an immensely heavy bag containing a laptop computer on which she fires off requests and thank-you letters : to American Secretary of State James Baker for his introduction to President Mobutu , to the King of Spain for agreeing to host a fundraising dinner for a chimp sanctuary in Spain . She 's an unofficial ambassador , I suggest . [ That 's what I 've been called , ] she agrees : [ ambassador for the chimps . ]"
A7L,b_definite,b_determined,a_count_sg,"The cowboy , by contrast , stays faithful to his British films , however limited their ambition , becomes a director and goes on to make serious pictures . The message is twofold . British cinema must grow up , but it can only do so by building on everything it has already created , even when that includes silly Hollywood ripoffs . Filmmakers and critics were not the only ones worrying about the state of British filmmaking , nor was ",<<< the >>>," film industry the only British enterprise losing out to American competition . The popularity of Hollywood films made them the most obvious indicator of the general shift in world trade . In holding British films responsible for their own failure , industrialists were encouraged by the willingness of US producers to assert that the aim of the American film industry was [ to Americanize the world . ] General concern about the parlous state of British film production was expressed throughout the 1920s ."
ABD,a_indefinite,a_nondetermined,a_count_sg,"If on their way out of the sun some of these become second- or third-generation neutrinos , then they would slip through earthly detectors unnoticed . Explaining this generation-skipping will require new physical theories ; those should provide pointers towards a grand unified theory of the strong , weak and electromagnetic forces , or even a substantial portion of the GUT itself . Sidney Bludman , of the University of Pennsylvania , argued in Brighton that the turncoat neutrinos suggest that GUTs come into the picture at lower energies than are normally expected . Dennis Sciama , of the Institute for Theoretical Physics in Trieste , teased out the consequences the neutrinos could have for the dark-matter debate in a journal , Nature , ",<<< a >>>," week before the conference . Up until now there has been no need to believe that neutrinos have any mass at all . If they do indeed oscillate between generations , though , they must have mass . The mass of the first-generation neutrino is probably negligible ."
AJX,b_definite,b_determined,d_proper,"WHILE pundits and pollsters floundered yesterday , householders breathed a great sigh of relief after the election was won and lost on that most emotive of personal finance issues -- taxation . Despite Labour 's dogged insistence that anyone earning more than £21,060 per annum was [ rich ] , millions looked at their family budget and saw it was not so . High mortgage costs often offset high nominal salaries , as Money-Go-Round illustrated most recently on the day before the poll . So , however disillusioned many were with the Tories and however much that swayed what they told the pollsters , they simply could not afford the extra tax burdens promised by Labour and ",<<< the >>>," Liberal Democrats . Now the housing market is [ set for recovery ] the largest building society said yesterday . The Halifax predicted a base rate cut [ within the next few weeks ] , pledged it would pass lower costs on to borrowers without delay and forecast a surge in sales , with some return of house price inflation before the end of the year . Housing market analyst John Wriglesworth of stockbrokers Phillips &amp; Drew forecast prices would rise 5 p.c. during the second half of this year -- cancelling the 5 p.c. fall during the last 12 months ."
ALB,a_indefinite,a_nondetermined,a_count_sg,"As we have seen , however , the gathering together of workshop participants with similar interests is only part of the idea , for Highlander always aims at helping people to translate their ideas into positive action when they return to their own communities . There is no pre-defined course which participants must follow , no pre-ordained ranking of community priorities , and no monopoly on the possible resulting actions . The authors of the Arkleton Trust publication seem to have this in mind when they state : -- [ ",<<< A >>>," framework for establishing rural development goals would include the following elements : appreciation of cultural and ideological value systems , understanding social and political systems , dissection of administrative and political structures , assessment of resource endowment in relation to population density , and recognition of the level of technological sophistication &hellip; and participation of rural people in planning and implementation &hellip; ] This broad framework , and more especially the premises to enable such gatherings to be facilitated , seem to be absent in Scotland as a whole , and within the context of the Highlands in particular . I must be careful here , for while the provision for community education in Scotland is generally more advanced at the level of local authority involvement than in the areas of the USA which I visited , and while organisations such as the Trades Unions , the WEA and others do much to orchestrate various adult education projects , there is nothing which approaches the [ schools for problems ] which Highlander provides . There is a host of community-related rural organisations in Scotland , many of which are purely social , or purely functional , some of which have broad ( non-party ) political aims , ( very few it seems make any attempt at all to combine social and political aspects even in a semi-structured way ) , but there has been little attempt to make learning connections between the assortment of community groups ."
ALU,b_definite,b_determined,a_count_sg,"When botanising abroad Mark Catesby also appreciated the value of records made while on expeditions , and he drew much in the field for his Natural History of Carolina , Florida and the Bahama Islands ( 1730&ndash;47 ) . On his return to England he found the cost of engraving his plates far beyond his means and so he learned the art and later produced this beautiful book , which brought in enough income to support his family after his death in 1749 . Philip Miller refers in the Dictionary to Mimosa circinalis , brought from the Bahamas by Catesby in 1726 . The seeds , he says [ are flat and one half of a beautiful red colour and ",<<< the >>>," other half of a deep black &hellip; the flowers have not yet appeared in England , but from a painting done from the plant in the country , they seem to be very beautiful . ] The Chelsea Garden , a centre for the receipt , cultivation and redistribution of rare plants , provided much to attract the botanical artist . Jacobus van Huysum ( c.1687&ndash;1740 ) brother of the famous Dutch flower painter , Jan ( 1682&ndash;1749 ) , lived at Chelsea from 1720 to 1740 and worked in the Physic Garden to provide some of the illustrations for John Martyn 's Historia Plantarum Rariorum ( 1728&ndash;37 ) . This included American plants from Lord Petre 's garden in Essex and West Indian plants received by Miller from Houstoun ."
ASA,b_definite,b_determined,a_count_sg,"I was so disappointed . Anyway , I soon got over my disappointment because , lo-and-behold , Gary player wanted a caddie . He 'd won the year before , so I could n't believe my luck . In ",<<< the >>>," end none of us won , although Tip came closest with Arnold . He was second , ironically behind Peter 's big friend Kel Nagle . I was seventh with Gary and Wal was ninth with Peter . Anyway , I 'd already had one moment of glory with Peter when he won two years before in the 1958 British Open ."
ASL,b_definite,b_determined,a_count_sg,"And then the blastula undergoes gastrulation . This involves a major change in shape , for the cells that will form the gut are a small patch on the outside and so must move inwards ; this infolding of the wall will move right across the hollow interior to meet the wall on the other side where the mouth will form . The process can be modelled by taking a balloon filled with water and pushing a finger in at one point until it touches the other side . The tube made by the indentation is the gut and the point where it starts will become ",<<< the >>>," anus . The embryo has been transformed from a sphere into a torus ; from a bun into a doughnut . Gastrulation begins , not with the formation of the gut , but with the entry of the cells that will lay down the skeleton . In time-lapse films the first signs are pulsations by the cells where the gut will form ."
AYP,b_definite,b_determined,a_count_sg,"( i ) the terms of any such scheme ( an [ overseas scheme ] ) shall , so far as practicable having regard to the local circumstances , confer benefits which in the opinion of the Directors are substantially similar to those which will be conferred by the proposed British Gas Executive Share Option Scheme to be approved as Resolution 11 ( [ the Scheme ] ) ; and ( ii ) the number of shares which may be subscribed for under any overseas scheme shall be limited to the extent necessary to ensure that shares so subscribed , when aggregated with shares subscribed for under the Scheme , the Overseas Scheme and any other overseas scheme similar to the Scheme , will not exceed the limits on the numbers of shares which may be issued under ",<<< the >>>," Scheme . Resolution 13 That the British Gas Employee Profit Sharing Scheme and the British Gas Sharesave Scheme be altered in the manner described in the attached Explanatory Notes . A member entitled to attend and vote is entitled to appoint a proxy or proxies to attend and , on a poll , to vote instead of him ."
