label_verbose,label,verb,verbmorph,verbmorph2,matrix_subject_type_2,matrix_subject_type_3,emb_cl_length,interv_material_macl_embcl,horror_aequi,ehms_etc_narrow,ehms_etc_broad,alpha_persistence_50,alpha_persistence_100,alpha_persistence,alpha_pers_distance,beta_pers_distance,ln_beta_pers_distance,beta_persistence_2,ttrpassage,adv_beginning,adv_afterend,matrix_negation,matrix_auxiliary,complement_subject,I_THINK_alert,verbid,morphid,text,speaker,speaker_age2,speaker_age,speaker_sex,area,area2,county,latitude,corpus
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,11,0,no,0,0,no,no,zero,442,113,4.727,0,7.8,no,no,yes,no,no,no,no,yes,SOM_035,SRLM_SC,80,old     ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,11,0,no,0,1,yes,yes,explicit,24,23,3.135,2,7.1,no,no,no,no,no,no,no,no,WLN_001,WlnTW,60,young   ,male,SCL,d_Scotland,WLN     ,56,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,3,0,no,0,0,no,no,zero,1025,62,4.127,1,7.3,no,no,no,no,no,no,yes,yes,SFK_034,SufSMW,79,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,3,0,no,0,0,no,no,zero,281,35,3.555,2,7.7,no,no,yes,no,yes,no,no,no,WES_016,WesDT,80,old     ,female,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,3,0,no,0,1,no,no,zero,324,64,4.159,1,7.6,no,no,no,no,yes,no,no,no,CON_005,CAVA_WJB,74,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,3,0,no,0,2,no,no,zero,435,7,1.946,1,7.4,no,no,yes,no,yes,no,yes,yes,LAN_009,LanH1P,67,young   ,female,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,4,0,no,0,0,no,no,zero,1561,14,2.639,4,6.6,no,no,no,no,no,no,no,yes,GLA_005,WalDJN,81,old     ,male,Wal,c_Wales,GLA     ,51.64,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,4,0,no,0,0,no,no,zero,177,57,4.043,1,7.2,no,yes,no,yes,no,no,no,yes,KEN_002,FK,88,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,4,0,no,0,0,no,no,zero,528,69,4.234,2,7.4,no,no,no,yes,yes,no,no,yes,SFK_027,JR1,50,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,5,0,yes,0,0,no,no,zero,437,59,4.078,3,7.5,no,no,yes,yes,no,no,no,yes,SFK_014,SufEAA2,74,young   ,NA,SE,b_England,SFK     ,52.55,b_FRED
